Wavelength,Flux
3200.0,2.761631374970097e-11
3201.0,2.7748459779930457e-11
3202.0,2.7727735038562962e-11
3203.0,2.7703023902647672e-11
3204.0,2.857675727996334e-11
3205.0,2.888386058108594e-11
3206.0,2.928811013158672e-11
3207.0,2.941551516255636e-11
3208.0,2.961041828397626e-11
3209.0,2.92143774449638e-11
3210.0,2.896148598718895e-11
3211.0,2.972864662775798e-11
3212.0,3.011392177287853e-11
3213.0,3.0751894086744613e-11
3214.0,3.021689842785946e-11
3215.0,2.967794413000213e-11
3216.0,2.9089945730031985e-11
3217.0,2.900750646628314e-11
3218.0,2.888514948062859e-11
3219.0,2.9160732856192695e-11
3220.0,2.9531314893471716e-11
3221.0,2.8485207248518662e-11
3222.0,2.808687483979444e-11
3223.0,2.8077443148255554e-11
3224.0,2.808872925919026e-11
3225.0,2.805134943772991e-11
3226.0,2.8741137941823425e-11
3227.0,2.927533909735658e-11
3228.0,2.942368571012821e-11
3229.0,2.9625100983476926e-11
3230.0,3.052819802507045e-11
3231.0,3.1149933327201396e-11
3232.0,3.175179563719155e-11
3233.0,3.2670092325881583e-11
3234.0,3.2944862116135454e-11
3235.0,3.444445076383751e-11
3236.0,3.434210207875488e-11
3237.0,3.416333188566156e-11
3238.0,3.4746490407133734e-11
3239.0,3.491055708404467e-11
3240.0,3.537563644795405e-11
3241.0,3.5147492555287485e-11
3242.0,3.46387259153591e-11
3243.0,3.4800707454651914e-11
3244.0,3.496174530437379e-11
3245.0,3.545664803428217e-11
3246.0,3.526634193007361e-11
3247.0,3.392760725140498e-11
3248.0,3.3114389702548763e-11
3249.0,3.218873084742668e-11
3250.0,3.022391364959631e-11
3251.0,2.979742841358046e-11
3252.0,3.098937773060584e-11
3253.0,3.113006380450756e-11
3254.0,3.126908454387234e-11
3255.0,3.143472634969946e-11
3256.0,3.1477834228077484e-11
3257.0,3.176231153090292e-11
3258.0,3.188682304311463e-11
3259.0,3.208356844086602e-11
3260.0,3.2511455333450456e-11
3261.0,3.284199995290393e-11
3262.0,3.286275418457052e-11
3263.0,3.2713748376878016e-11
3264.0,3.2062238281005406e-11
3265.0,3.228471309735248e-11
3266.0,3.26084957646966e-11
3267.0,3.3268419269427696e-11
3268.0,3.3533616855541126e-11
3269.0,3.3556987050209486e-11
