Wavelength,Flux
3200.0,4.5926942804364046e-11
3201.0,4.620420712697637e-11
3202.0,4.3627611939767164e-11
3203.0,4.0828049274743705e-11
3204.0,4.645169318640008e-11
3205.0,4.8704092842077884e-11
3206.0,5.532541785813194e-11
3207.0,5.274545383793239e-11
3208.0,4.7918006368385946e-11
3209.0,4.706630918338561e-11
3210.0,4.660948710322188e-11
3211.0,5.208922182475817e-11
3212.0,5.1541611256755715e-11
3213.0,4.785509141735922e-11
3214.0,4.681979456910845e-11
3215.0,4.550238658085348e-11
3216.0,4.485705210055535e-11
3217.0,4.468292402748375e-11
3218.0,4.312765422564979e-11
3219.0,4.523564162139948e-11
3220.0,4.825534416497135e-11
3221.0,4.8793812740255404e-11
3222.0,4.8676302571992736e-11
3223.0,4.916009960220791e-11
3224.0,4.8269544611345694e-11
3225.0,4.665042310780798e-11
3226.0,4.6452772184402136e-11
3227.0,4.582950338671843e-11
3228.0,4.858746391334101e-11
3229.0,4.821655921749546e-11
3230.0,4.701725120348499e-11
3231.0,4.667670416846903e-11
3232.0,4.6670747128052525e-11
3233.0,4.907908801587979e-11
3234.0,4.951643955974916e-11
3235.0,5.2095910918481536e-11
3236.0,5.2224821689428325e-11
3237.0,5.239299619153037e-11
3238.0,5.388024401642433e-11
3239.0,5.419193913058784e-11
3240.0,5.406014871867093e-11
3241.0,5.331692379262343e-11
3242.0,5.1331452977088077e-11
3243.0,5.586636014909274e-11
3244.0,5.872591302136243e-11
3245.0,6.147760772678978e-11
3246.0,6.125432105985595e-11
3247.0,5.975168970717704e-11
3248.0,5.8106800621127164e-11
3249.0,5.663610899708793e-11
3250.0,4.956799207200824e-11
3251.0,4.752878993152798e-11
3252.0,4.837909239885363e-11
3253.0,4.822283544703154e-11
3254.0,4.797580388515854e-11
3255.0,4.952600829444265e-11
3256.0,5.021100202284856e-11
3257.0,5.4825165241023655e-11
3258.0,5.496488333922578e-11
3259.0,5.4541107741279404e-11
3260.0,5.4669206661639436e-11
3261.0,5.463522342874505e-11
3262.0,5.625947277487775e-11
3263.0,5.671700262221968e-11
3264.0,5.757434112796389e-11
3265.0,5.814165468520649e-11
3266.0,5.859694673926441e-11
