Wavelength,Flux
3200.0,3.057507136361437e-09
3201.0,3.04867153744226e-09
3202.0,3.0650670890253195e-09
3203.0,3.089923872323652e-09
3204.0,3.303341822302741e-09
3205.0,3.3665581433695024e-09
3206.0,3.2940432603822956e-09
3207.0,3.257934588773992e-09
3208.0,3.1994329408036037e-09
3209.0,3.1284590473745766e-09
3210.0,3.092023970197033e-09
3211.0,3.143417526274561e-09
3212.0,3.142585303095302e-09
3213.0,3.1091953456297006e-09
3214.0,3.114685398486472e-09
3215.0,3.118906244381492e-09
3216.0,3.1128739585994936e-09
3217.0,3.104422052757627e-09
3218.0,3.0460760580552915e-09
3219.0,3.0547664398028473e-09
3220.0,3.06496161783798e-09
3221.0,3.0525024730110317e-09
3222.0,3.045609542340344e-09
3223.0,3.1656770538290857e-09
3224.0,3.1507061404312253e-09
3225.0,3.1229971941826307e-09
3226.0,3.0348321633510977e-09
3227.0,2.967049717028658e-09
3228.0,3.017454508480455e-09
3229.0,3.0507911752408745e-09
3230.0,3.1614777462607435e-09
3231.0,3.269665871385996e-09
3232.0,3.3691143208613994e-09
3233.0,3.4219920230782463e-09
3234.0,3.434850626149455e-09
3235.0,3.457393038530654e-09
3236.0,3.4642413382357518e-09
3237.0,3.479372567838368e-09
3238.0,3.4763611989063747e-09
3239.0,3.4701888029786687e-09
3240.0,3.489774025311476e-09
3241.0,3.5223881589274697e-09
3242.0,3.6075882281494387e-09
3243.0,3.6305634054656366e-09
3244.0,3.650815649791639e-09
3245.0,3.6884266751968653e-09
3246.0,3.673380932767145e-09
3247.0,3.61569996165656e-09
3248.0,3.5264280384694757e-09
3249.0,3.452621744060025e-09
3250.0,3.10878189857533e-09
3251.0,3.0314153409705114e-09
3252.0,3.1013873691421168e-09
3253.0,3.148340699254959e-09
3254.0,3.2238096636660885e-09
3255.0,3.253992630902758e-09
3256.0,3.2706473085397647e-09
3257.0,3.3328253490338966e-09
3258.0,3.329044817590443e-09
3259.0,3.313077145961074e-09
3260.0,3.3386331477203157e-09
3261.0,3.35356320491087e-09
3262.0,3.4632403611567497e-09
3263.0,3.4731599818371706e-09
3264.0,3.45624950881529e-09
3265.0,3.459380559789338e-09
3266.0,3.4549239025238876e-09
3267.0,3.4335552179243223e-09
3268.0,3.4201259602184564e-09
3269.0,3.364237555203431e-09
3270.0,3.35658434380548e-09
3271.0,3.339680532121747e-09
3272.0,3.376467105908887e-09
3273.0,3.3963150070093207e-09
3274.0,3.3916334185590813e-09
3275.0,3.372574441939946e-09
3276.0,3.322156105767249e-09
3277.0,3.247565105723993e-09
3278.0,3.1930538213487125e-09
3279.0,3.1499776120824663e-09
3280.0,3.1618221374429822e-09
3281.0,3.2707812014365345e-09
3282.0,3.3035767454947518e-09
3283.0,3.347971011535833e-09
3284.0,3.4066411913613592e-09
3285.0,3.4231639745030407e-09
3286.0,3.3479017336190964e-09
3287.0,3.3441169833281492e-09
3288.0,3.3383942277254164e-09
3289.0,3.418275662525616e-09
3290.0,3.4635341261690655e-09
3291.0,3.5473568527066845e-09
3292.0,3.545785665082235e-09
3293.0,3.5256852992660015e-09
3294.0,3.5300533607340867e-09
3295.0,3.5325715685985415e-09
3296.0,3.536524184610812e-09
3297.0,3.5378047158474146e-09
3298.0,3.510513879589894e-09
3299.0,3.5354350558236547e-09
3300.0,3.55973561738665e-09
3301.0,3.4027398676528264e-09
3302.0,3.3456064585379863e-09
3303.0,3.2889757584086965e-09
3304.0,3.2837246255468244e-09
3305.0,3.2672740069017436e-09
3306.0,3.2736215960227355e-09
3307.0,3.276525495365945e-09
3308.0,3.2741422906212847e-09
3309.0,3.283862515246483e-09
3310.0,3.3147533606836532e-09
3311.0,3.2946352312990257e-09
3312.0,3.276138027530351e-09
3313.0,3.293360917311361e-09
3314.0,3.3022473644450656e-09
3315.0,3.34929728396105e-09
3316.0,3.3740923388592137e-09
3317.0,3.4129079562461584e-09
3318.0,3.4490978961798646e-09
3319.0,3.461512854130433e-09
3320.0,3.3904221652392152e-09
3321.0,3.373324064526173e-09
3322.0,3.343000765099191e-09
3323.0,3.3729135040516667e-09
3324.0,3.3929352660777568e-09
3325.0,3.4748777189008706e-09
3326.0,3.480219890050762e-09
3327.0,3.4659446424001317e-09
3328.0,3.4388947245389545e-09
3329.0,3.410122406677374e-09
3330.0,3.476688936743244e-09
3331.0,3.4929632519720144e-09
3332.0,3.4593750086742148e-09
3333.0,3.4392650949399695e-09
3334.0,3.4007465732344144e-09
3335.0,3.3674079080725505e-09
3336.0,3.354285516010691e-09
3337.0,3.3515186181887202e-09
3338.0,3.349875488112275e-09
3339.0,3.3420275435958047e-09
3340.0,3.3194833548577662e-09
3341.0,3.3041587244042603e-09
3342.0,3.344061472176918e-09
3343.0,3.3641800456507553e-09
3344.0,3.442409468590313e-09
3345.0,3.440984830405114e-09
3346.0,3.4339633359081745e-09
3347.0,3.365904888141813e-09
3348.0,3.3341376326490035e-09
3349.0,3.3117282249861546e-09
3350.0,3.2852729425769667e-09
3351.0,3.244630120136094e-09
3352.0,3.317002006397729e-09
3353.0,3.350384414346763e-09
3354.0,3.359359235233228e-09
3355.0,3.362377265503369e-09
3356.0,3.3585605407893127e-09
3357.0,3.3201632554380467e-09
3358.0,3.288477046226035e-09
3359.0,3.230302914047911e-09
3360.0,3.229168488161349e-09
3361.0,3.2722982101773823e-09
3362.0,3.291562578056073e-09
3363.0,3.3165952206815064e-09
3364.0,3.3161826618055557e-09
3365.0,3.3126590359700003e-09
3366.0,3.281732441351437e-09
3367.0,3.278892490854446e-09
3368.0,3.274831739119577e-09
3369.0,3.279937210720618e-09
3370.0,3.281581228975483e-09
3371.0,3.20717474799892e-09
3372.0,3.1920943666108315e-09
3373.0,3.173690421576225e-09
3374.0,3.21925885948815e-09
3375.0,3.260685721429013e-09
3376.0,3.2869234001253744e-09
3377.0,3.2902731650352735e-09
3378.0,3.2775868685774867e-09
3379.0,3.2521991766287783e-09
3380.0,3.2192042365153384e-09
3381.0,3.2576594755084898e-09
3382.0,3.2708198371977915e-09
3383.0,3.304849727214787e-09
3384.0,3.3102982577304374e-09
3385.0,3.3228910734095507e-09
3386.0,3.3547440381198612e-09
3387.0,3.3720726211328156e-09
3388.0,3.3983449387875453e-09
3389.0,3.4035489981931732e-09
3390.0,3.402047754619275e-09
3391.0,3.393056502432046e-09
3392.0,3.382565560983153e-09
3393.0,3.355423050521722e-09
3394.0,3.3490001882796605e-09
3395.0,3.33545169262095e-09
3396.0,3.363227474295627e-09
3397.0,3.402329973312135e-09
3398.0,3.403860970863093e-09
3399.0,3.399525105862722e-09
3400.0,3.249511326686161e-09
3401.0,3.229036149576814e-09
3402.0,3.190442576794794e-09
3403.0,3.1947664513864993e-09
3404.0,3.198608711230122e-09
3405.0,3.239730261839213e-09
3406.0,3.240613333233e-09
3407.0,3.231230172318078e-09
3408.0,3.2385323311956427e-09
3409.0,3.2515146131117945e-09
3410.0,3.290751449114282e-09
3411.0,3.30657345948282e-09
3412.0,3.3429166101939245e-09
3413.0,3.33669558649774e-09
3414.0,3.331485531887779e-09
3415.0,3.3406204469343947e-09
3416.0,3.3470299865001607e-09
3417.0,3.3537246313386504e-09
3418.0,3.340948184771264e-09
3419.0,3.3088438655681784e-09
3420.0,3.287170979859866e-09
3421.0,3.270681947498133e-09
3422.0,3.292730088588769e-09
3423.0,3.300933748562329e-09
3424.0,3.3156946077639304e-09
3425.0,3.341481535912294e-09
3426.0,3.370780543576757e-09
