Wavelength,Flux
3200.0,6.755584286421978e-11
3201.0,6.755584286421978e-11
3202.0,6.923862178043194e-11
3203.0,7.108329896921006e-11
3204.0,6.71415492647931e-11
3205.0,6.593992019077177e-11
3206.0,6.521848339158254e-11
3207.0,6.753859277397467e-11
3208.0,7.147881592173277e-11
3209.0,7.224665310445744e-11
3210.0,7.262748041858558e-11
3211.0,6.429792115403288e-11
3212.0,6.752024633849274e-11
3213.0,7.729629436514784e-11
3214.0,8.0183325257277e-11
3215.0,8.243102728178187e-11
3216.0,8.507965165716058e-11
3217.0,8.296888870384933e-11
3218.0,6.942052488412287e-11
3219.0,7.299621324063921e-11
3220.0,7.726291828547005e-11
3221.0,8.220350788956665e-11
3222.0,8.286989150452229e-11
3223.0,6.553187853475251e-11
3224.0,6.787024414700582e-11
3225.0,7.222038939103115e-11
3226.0,7.351109998499084e-11
3227.0,7.421387809847246e-11
3228.0,6.758380660665253e-11
3229.0,7.082315983675258e-11
3230.0,8.209930651981168e-11
3231.0,8.379352767207138e-11
3232.0,8.523086403311453e-11
3233.0,8.201640061544779e-11
3234.0,8.272044854651384e-11
3235.0,9.104636489176698e-11
3236.0,9.104644815849383e-11
3237.0,9.104655224190239e-11
3238.0,9.57069146156897e-11
3239.0,9.73526606551367e-11
3240.0,9.562857450351459e-11
3241.0,9.350342028424663e-11
3242.0,8.916153232396695e-11
3243.0,8.947267926551206e-11
3244.0,8.965821141071473e-11
3245.0,9.267352857333933e-11
3246.0,9.209725343461983e-11
3247.0,8.921523242388929e-11
3248.0,8.35362334861145e-11
3249.0,7.829448200880051e-11
3250.0,7.292363934929824e-11
3251.0,7.249758432470443e-11
3252.0,7.83811210380847e-11
3253.0,8.00178048820932e-11
3254.0,8.233716486394371e-11
3255.0,8.297893622222219e-11
3256.0,8.322931233095687e-11
3257.0,8.222709318994603e-11
3258.0,8.27475657438903e-11
3259.0,8.39203775915287e-11
3260.0,8.361984715765658e-11
3261.0,8.342387891602243e-11
3262.0,8.329425343900354e-11
3263.0,8.320229227809506e-11
3264.0,8.289216535395383e-11
3265.0,8.23605766919755e-11
3266.0,8.182689248403818e-11
3267.0,8.471855161840125e-11
3268.0,8.573523141430783e-11
3269.0,8.840723986214272e-11
3270.0,8.84631604081143e-11
3271.0,8.854965372062651e-11
3272.0,8.74452038557294e-11
3273.0,8.695000969227706e-11
3274.0,8.618113861436072e-11
3275.0,8.565591985698617e-11
3276.0,8.436983056636649e-11
3277.0,8.191306660743081e-11
3278.0,8.016469432714501e-11
3279.0,7.610248542455622e-11
3280.0,7.59591209376076e-11
3281.0,7.777828381350105e-11
3282.0,8.177906268835855e-11
3283.0,8.614763069569875e-11
3284.0,8.70362046323514e-11
3285.0,8.698906872606216e-11
3286.0,8.31723648286875e-11
3287.0,8.299606835127094e-11
3288.0,8.269791795800785e-11
3289.0,8.656515088079075e-11
3290.0,8.847478305540335e-11
3291.0,8.773459042599185e-11
3292.0,8.739946960600875e-11
3293.0,8.65400182070708e-11
3294.0,8.84152057123444e-11
3295.0,8.987015992500957e-11
3296.0,8.671038886909344e-11
3297.0,8.625106184823039e-11
3298.0,8.651788313551734e-11
3299.0,8.823346914210717e-11
3300.0,9.027362191105226e-11
3301.0,8.288632280528674e-11
3302.0,8.052099265132284e-11
3303.0,8.116374933253567e-11
3304.0,8.141567975350483e-11
3305.0,8.188235506301211e-11
3306.0,8.014899854913438e-11
3307.0,7.92092225143648e-11
3308.0,7.831361253929359e-11
3309.0,7.884317504425198e-11
3310.0,8.06400779485017e-11
3311.0,8.106400273266701e-11
3312.0,8.142223006935012e-11
3313.0,8.358221059712179e-11
3314.0,8.40196315299302e-11
